unit_id,predicted_rul,risk_tier,model_disagreement,review_required,maintenance_period,decision
34,5.156352519989014,Critical,3.110513210296631,False,1.0,Schedule in period 1
42,5.391363620758057,Critical,5.833310604095459,False,1.0,Schedule in period 1
81,6.00972318649292,Critical,1.5318584442138672,False,1.0,Schedule in period 1
82,6.159860134124756,Critical,5.139733791351318,False,1.0,Schedule in period 1
68,6.801623821258545,Critical,5.30604887008667,False,1.0,Schedule in period 1
76,7.178316593170166,Critical,3.6441311836242676,False,2.0,Schedule in period 2
31,8.606690406799316,Critical,3.0330963134765625,False,2.0,Schedule in period 2
35,9.841004371643066,Critical,1.29046630859375,False,2.0,Schedule in period 2
56,14.963373184204102,Critical,0.7501745223999023,False,2.0,Schedule in period 2
20,16.981056213378906,High,1.0398445129394531,False,2.0,Schedule in period 2
49,17.892173767089844,High,1.1803970336914062,False,3.0,Schedule in period 3
100,18.27495765686035,High,0.8589458465576172,False,3.0,Schedule in period 3
24,19.94356918334961,High,0.4734973907470703,False,3.0,Schedule in period 3
66,20.59482765197754,High,2.7845935821533203,False,3.0,Schedule in period 3
61,23.276763916015625,High,3.662172317504883,False,3.0,Schedule in period 3
92,24.122526168823242,High,3.713064193725586,False,,Deferred beyond planning horizon
64,24.353195190429688,High,3.1041717529296875,False,,Deferred beyond planning horizon
41,24.690839767456055,High,4.557817459106445,False,,Deferred beyond planning horizon
36,25.655344009399414,High,1.456106185913086,False,,Deferred beyond planning horizon
37,27.777950286865234,High,4.479816436767578,False,,Deferred beyond planning horizon
77,27.80476951599121,High,2.362253189086914,False,,Deferred beyond planning horizon
91,29.18045997619629,High,5.171443939208984,False,,Deferred beyond planning horizon
90,29.729036331176758,High,0.8947734832763672,False,,Deferred beyond planning horizon
