unit_id,predicted_rul,model_disagreement,risk_tier,review_required,urgency_score,queue_position,recommended_action,review_note
34,5.1563525,3.1105132,Critical,False,316.2433834075928,1,Schedule immediately,
42,5.3913636,5.8333106,Critical,False,315.6461133956909,2,Schedule immediately,
81,6.009723,1.5318584,Critical,False,314.2658987045288,3,Schedule immediately,
82,6.15986,5.139734,Critical,False,313.96675300598145,4,Schedule immediately,
68,6.801624,5.306049,Critical,False,312.81784439086914,5,Schedule immediately,
76,7.1783166,3.6441312,Critical,False,312.2274560928345,6,Schedule immediately,
31,8.60669,3.0330963,Critical,False,310.4094123840332,7,Schedule immediately,
35,9.841004,1.2904663,Critical,False,309.2242374420166,8,Schedule immediately,
56,14.963373,0.7501745,Critical,False,306.2643404006958,9,Schedule immediately,
20,16.981056,1.0398445,High,False,205.56140851974487,10,Schedule soon,
49,17.892174,1.180397,High,False,205.29319715499878,11,Schedule soon,
100,18.274958,0.85894585,High,False,205.18807888031006,12,Schedule soon,
24,19.94357,0.4734974,High,False,204.77473545074463,13,Schedule soon,
66,20.594828,2.7845936,High,False,204.63073873519897,14,Schedule soon,
61,23.276764,3.6621723,High,False,204.11916494369507,15,Schedule soon,
92,24.122526,3.7130642,High,False,203.98049139976501,16,Schedule soon,
64,24.353195,3.1041718,High,False,203.94427609443665,17,Schedule soon,
41,24.69084,4.5578175,High,False,203.8924379348755,18,Schedule soon,
36,25.655344,1.4561062,High,False,203.75159287452698,19,Schedule soon,
37,27.77795,4.4798164,High,False,203.47488260269165,20,Schedule soon,
77,27.80477,2.3622532,High,False,203.47164726257324,21,Schedule soon,
91,29.18046,5.171444,High,False,203.31340217590332,22,Schedule soon,
90,29.729036,0.8947735,High,False,203.25425100326538,23,Schedule soon,
53,31.464739,0.96284294,Medium,False,103.0802652835846,24,Monitor closely,
52,34.741234,5.2880707,Medium,False,102.79788875579834,25,Monitor closely,
18,35.437706,7.510824,Medium,False,102.7444097995758,26,Monitor closely,
40,35.78971,3.446289,Medium,False,102.71815133094788,27,Monitor closely,
58,41.949883,1.761486,Medium,False,102.3282949924469,28,Monitor closely,
62,43.195972,3.6138802,Medium,False,102.26264953613281,29,Monitor closely,
46,44.06682,7.983322,Medium,False,102.21892738342285,30,Monitor closely,
17,49.0969,0.010791779,Medium,False,101.9961314201355,31,Monitor closely,
3,50.50383,5.0378647,Medium,False,101.94160318374634,32,Monitor closely,
32,50.69345,2.5721817,Medium,False,101.93448102474213,33,Monitor closely,
93,55.979862,6.787037,Medium,False,101.7550059556961,34,Monitor closely,
72,56.515408,6.3872223,Medium,False,101.7386645078659,35,Monitor closely,
38,57.36628,2.7985153,Medium,False,101.71331799030304,36,Monitor closely,
43,59.445724,9.635811,Medium,False,101.654376745224,37,Monitor closely,
98,65.13854,8.797768,Low,False,1.5119776725769043,38,Continue normal monitoring,
21,66.44699,1.3053818,Low,False,1.482645869255066,39,Continue normal monitoring,
13,69.559906,4.1803055,Low,False,1.4172354936599731,40,Continue normal monitoring,
94,71.412674,9.615181,Low,False,1.3809736967086792,41,Continue normal monitoring,
84,78.21919,8.630608,Low,False,1.2623203992843628,42,Continue normal monitoring,
97,79.202896,4.875786,Low,False,1.2468377351760864,43,Continue normal monitoring,
45,79.35569,11.873985,Low,True,1.2444669008255005,44,Continue normal monitoring,Review model disagreement
10,79.91069,2.1830826,Low,False,1.2359306812286377,45,Continue normal monitoring,
4,80.3134,0.8725815,Low,False,1.2298096418380737,46,Continue normal monitoring,
50,83.51437,1.2429123,Low,False,1.1832306385040283,47,Continue normal monitoring,
19,83.77186,16.956581,Low,True,1.1796367168426514,48,Continue normal monitoring,Review model disagreement
11,87.9997,20.880531,Low,True,1.1235992908477783,49,Continue normal monitoring,Review model disagreement
63,89.12038,11.123421,Low,True,1.1096270084381104,50,Continue normal monitoring,Review model disagreement
70,89.398476,8.551033,Low,False,1.1062133312225342,51,Continue normal monitoring,
16,93.03,0.33128357,Low,False,1.063490390777588,52,Continue normal monitoring,
27,93.83806,5.548973,Low,False,1.054429054260254,53,Continue normal monitoring,
73,94.65196,3.226799,Low,False,1.045456886291504,54,Continue normal monitoring,
29,96.2758,5.4760056,Low,False,1.0280048847198486,55,Continue normal monitoring,
12,97.64567,8.260941,Low,False,1.013729214668274,56,Continue normal monitoring,
51,98.016495,32.47072,Low,True,1.0099327564239502,57,Continue normal monitoring,Review model disagreement
80,98.1669,4.1551743,Low,False,1.0084010362625122,58,Continue normal monitoring,
95,98.363914,8.35334,Low,False,1.006401538848877,59,Continue normal monitoring,
8,99.6463,2.9106598,Low,False,0.9935784935951233,60,Continue normal monitoring,
7,100.93109,3.2128525,Low,False,0.981054961681366,61,Continue normal monitoring,
75,101.128654,3.2569733,Low,False,0.9791571497917175,62,Continue normal monitoring,
15,101.96954,10.588905,Low,True,0.9711609482765198,63,Continue normal monitoring,Review model disagreement
44,103.34647,11.465042,Low,True,0.9583457708358765,64,Continue normal monitoring,Review model disagreement
71,103.67497,12.093727,Low,True,0.955338180065155,65,Continue normal monitoring,Review model disagreement
59,105.42345,6.7439804,Low,False,0.9396425485610962,66,Continue normal monitoring,
74,106.74551,0.8881531,Low,False,0.9281129240989685,67,Continue normal monitoring,
5,106.872375,3.4009933,Low,False,0.9270213842391968,68,Continue normal monitoring,
55,107.08467,4.967293,Low,False,0.9252005815505981,69,Continue normal monitoring,
48,107.74393,2.3341217,Low,False,0.9195916056632996,70,Continue normal monitoring,
28,108.516556,0.027870178,Low,False,0.9131039381027222,71,Continue normal monitoring,
79,109.29587,21.748344,Low,True,0.9066522717475891,72,Continue normal monitoring,Review model disagreement
25,109.60874,10.689453,Low,True,0.9040876626968384,73,Continue normal monitoring,Review model disagreement
26,111.02115,7.0701675,Low,False,0.8926885724067688,74,Continue normal monitoring,
1,112.820366,1.2905045,Low,False,0.8785774111747742,75,Continue normal monitoring,
89,113.3847,1.7777557,Low,False,0.8742428421974182,76,Continue normal monitoring,
96,113.616234,0.9356079,Low,False,0.8724767565727234,77,Continue normal monitoring,
60,113.945206,4.8382645,Low,False,0.869979739189148,78,Continue normal monitoring,
57,114.151436,17.817322,Low,True,0.8684216737747192,79,Continue normal monitoring,Review model disagreement
87,114.51523,6.0606613,Low,False,0.8656867146492004,80,Continue normal monitoring,
86,114.808174,1.1050568,Low,False,0.8634968996047974,81,Continue normal monitoring,
30,115.17475,18.702301,Low,True,0.8607722520828247,82,Continue normal monitoring,Review model disagreement
6,115.68822,15.984322,Low,True,0.856984555721283,83,Continue normal monitoring,Review model disagreement
47,116.72203,7.771965,Low,False,0.8494586944580078,84,Continue normal monitoring,
88,117.52338,6.8961945,Low,False,0.8437154293060303,85,Continue normal monitoring,
67,117.851654,2.7586517,Low,False,0.841385006904602,86,Continue normal monitoring,
33,117.92946,3.1158981,Low,False,0.8408345580101013,87,Continue normal monitoring,
