sensor,corr_with_cycle,corr_with_rul
sensor_11,0.6431183099960316,-0.7711821887660653
sensor_4,0.6324832116421366,-0.7523072521341797
sensor_12,-0.6196356908052916,0.7423946338396881
sensor_7,-0.6041146491330154,0.7274893685991016
sensor_15,0.5937337230480918,-0.7166619521445317
sensor_21,-0.5916476875269061,0.7037131497634079
sensor_20,-0.5934601213162987,0.7029868466376038
sensor_17,0.5726651170490236,-0.6772769553632688
sensor_2,0.5586381040070558,-0.675214949490747
sensor_3,0.5511981291356959,-0.6521305310347696
sensor_8,0.48650487008610815,-0.6187891946773681
sensor_13,0.48658612804722545,-0.6173277606081635
sensor_9,0.43066820557291163,-0.4601797604023072
sensor_14,0.3570536654872483,-0.3719594814257213
sensor_6,0.1035972727809837,-0.10369924070716256
